year,location,sequence,herd.type,status,foraging,vigilant,other,total
2017,WRF,c8,territorial,t.male,0,32,6,38
2017,WRF,c7,territorial,t.male,54,2,1,57
2017,WRF,c6,territorial,t.male,13,6,0,19
2017,WRF,c4,territorial,t.male,36,4,2,42
2017,WRF,b1,territorial,t.male,2,37,0,39
2017,WRF,c3,territorial,t.male,0,24,0,24
2017,WRF,c2,territorial,t.male,1,39,20,60
2017,WRF,c1,territorial,t.male,1,50,9,60
2017,WRF,c8,territorial,female,30,7,1,38
2017,WRF,c7,territorial,female,53,3,1,57
2017,WRF,c7,territorial,female,31,23,0,54
2017,WRF,c7,territorial,female,51,4,2,57
2017,WRF,c7,territorial,female,52,4,1,57
2017,WRF,c7,territorial,female,41,9,7,57
2017,WRF,c7,territorial,female,54,2,1,57
2017,WRF,c6,territorial,female,7,12,0,19
2017,WRF,c6,territorial,female,0,19,0,19
2017,WRF,c6,territorial,female,0,9,2,11
2017,WRF,c6,territorial,female,1,8,2,11
2017,WRF,c4,territorial,female,43,16,5,64
2017,WRF,c4,territorial,female,47,14,3,64
2017,WRF,c4,territorial,female,52,8,4,64
2017,WRF,c4,territorial,female,12,40,1,53
2017,WRF,c4,territorial,female,51,6,1,58
2017,WRF,b3,territorial,female,6,0,1,7
2017,WRF,b3,territorial,female,4,0,1,5
2017,WRF,b3,territorial,female,8,0,0,8
2017,WRF,b3,territorial,female,2,5,1,8
2017,WRF,b2,territorial,female,8,4,1,13
2017,WRF,b2,territorial,female,6,4,2,12
2017,WRF,b1,territorial,female,18,0,0,18
2017,WRF,b1,territorial,female,11,5,0,16
2017,WRF,b1,territorial,female,30,4,4,38
2017,WRF,b1,territorial,female,16,0,0,16
2017,WRF,c3,territorial,female,7,28,1,36
2017,WRF,c3,territorial,female,31,3,2,36
2017,WRF,c3,territorial,female,28,8,0,36
2017,WRF,c3,territorial,female,22,9,5,36
2017,WRF,c3,territorial,female,26,4,1,31
2017,WRF,c3,territorial,female,24,6,5,35
2017,WRF,c3,territorial,female,13,2,5,20
2017,WRF,c2,territorial,female,0,55,5,60
2017,WRF,c2,territorial,female,0,31,10,41
2017,WRF,c2,territorial,female,4,35,5,44
2017,WRF,c2,territorial,female,0,10,1,11
2017,WRF,c2,territorial,female,1,7,15,23
2017,WRF,c2,territorial,female,0,13,8,21
2017,WRF,c2,territorial,female,2,5,14,21
2017,WRF,c2,territorial,female,1,46,13,60
2017,WRF,c2,territorial,female,58,1,0,59
2017,WRF,c2,territorial,female,0,10,5,15
2017,WRF,c1,territorial,female,11,40,9,60
2017,WRF,c1,territorial,female,1,51,7,59
2017,WRF,c1,territorial,female,0,51,9,60
2017,WRF,c1,territorial,female,0,52,5,57
2017,WRF,c1,territorial,female,7,49,4,60
2017,WRF,c1,territorial,female,1,53,6,60
2017,WRF,c1,territorial,female,12,38,10,60
2017,WRF,c1,territorial,female,1,20,0,21
2017,WRF,c1,territorial,female,4,56,0,60
2017,WRF,c8,territorial,juvenile,8,28,0,36
2017,WRF,c8,territorial,juvenile,20,16,0,36
2017,WRF,c8,territorial,juvenile,15,14,7,36
2017,WRF,c8,territorial,juvenile,19,16,1,36
2017,WRF,c7,territorial,juvenile,21,3,33,57
2017,WRF,c6,territorial,juvenile,4,12,3,19
2017,WRF,c6,territorial,juvenile,19,8,1,28
2017,WRF,c4,territorial,juvenile,25,10,19,54
2017,WRF,c4,territorial,juvenile,21,22,4,47
2017,WRF,b3,territorial,juvenile,5,2,1,8
2017,WRF,b2,territorial,juvenile,3,9,1,13
2017,WRF,b2,territorial,juvenile,10,3,0,13
2017,WRF,b2,territorial,juvenile,3,9,0,12
2017,WRF,b2,territorial,juvenile,8,2,2,12
2017,WRF,b1,territorial,juvenile,14,11,2,27
2017,WRF,b1,territorial,juvenile,6,10,1,17
2017,WRF,b1,territorial,juvenile,17,8,1,26
2017,WRF,b1,territorial,juvenile,15,6,4,25
