"observation","location","herd.type","impala.type","foraging","vigilant","all.other"
"katie.1","wits.facility","territorial","male",0,0,0
"katie.1","wits.facility","territorial","female",6,6,0
"katie.1","wits.facility","territorial","juvenile",0,0,0
"katie.2","wits.facility","territorial","male",0,0,0
"katie.2","wits.facility","territorial","female",74,6,0
"katie.2","wits.facility","territorial","juvenile",1,0,1
"katie.3","wits.facility","territorial","male",0,0,0
"katie.3","wits.facility","territorial","female",3,5,0
"katie.3","wits.facility","territorial","juvenile",0,0,0
"katie.4","wits.facility","territorial","male",0,0,0
"katie.4","wits.facility","territorial","female",10,1,1
"katie.4","wits.facility","territorial","juvenile",0,0,0
"katie.5","wits.facility","territorial","male",0,0,0
"katie.5","wits.facility","territorial","female",117,38,9
"katie.5","wits.facility","territorial","juvenile",0,0,0
"katie.6","kruger","bachelor","male",37,33,0
"katie.6","kruger","bachelor","female",0,0,0
"katie.6","kruger","bachelor","juvenile",0,0,0
"katie.7","kruger","territorial","male",41,22,1
"katie.7","kruger","territorial","female",0,0,0
"katie.7","kruger","territorial","juvenile",0,0,0
"katie.8","kruger","territorial","male",3,15,2
"katie.8","kruger","territorial","female",38,63,4
"katie.8","kruger","territorial","juvenile",0,0,0
"katie.9","wits.facility","territorial","male",0,0,0
"katie.9","wits.facility","territorial","female",6,6,6
"katie.9","wits.facility","territorial","juvenile",26,18,0
"katie.10","wits.facility","territorial","male",0,0,0
"katie.10","wits.facility","territorial","female",61,23,6
"katie.10","wits.facility","territorial","juvenile",45,8,5
"katie.11","wits.facility","territorial","male",0,0,0
"katie.11","wits.facility","territorial","female",7,2,0
"katie.11","wits.facility","territorial","juvenile",0,0,0
"katie.12","wits.facility","territorial","male",0,0,0
"katie.12","wits.facility","territorial","female",0,0,0
"katie.12","wits.facility","territorial","juvenile",0,0,0
"katie.13","wits.facility","territorial","male",0,0,0
"katie.13","wits.facility","territorial","female",0,0,0
"katie.13","wits.facility","territorial","juvenile",0,19,2
"katie.14","wits.facility","territorial","male",0,0,0
"katie.14","wits.facility","territorial","female",9,6,6
"katie.14","wits.facility","territorial","juvenile",0,0,0
"katie.15","wits.facility","territorial","male",1,1,1
"katie.15","wits.facility","territorial","female",5,1,3
"katie.15","wits.facility","territorial","juvenile",0,0,0
"katie.16","wits.facility","territorial","male",0,0,0
"katie.16","wits.facility","territorial","female",1,5,5
"katie.16","wits.facility","territorial","juvenile",0,16,12
"katie.17","kruger","territorial","male",0,6,1
"katie.17","kruger","territorial","female",5,6,3
"katie.17","kruger","territorial","juvenile",0,0,0
"katie.18","kruger","bachelor","male",8,20,12
"katie.18","kruger","bachelor","female",0,0,0
"katie.18","kruger","bachelor","juvenile",0,0,0
"katie.19","wits.facility","territorial","male",1,10,1
"katie.19","wits.facility","territorial","female",4,3,1
"katie.19","wits.facility","territorial","juvenile",11,20,6
"katie.20","wits.facility","bachelor","male",7,3,0
"katie.20","wits.facility","bachelor","female",0,0,0
"katie.20","wits.facility","bachelor","juvenile",0,0,0
"katie.21","kruger","territorial","male",8,0,1
"katie.21","kruger","territorial","female",16,0,2
"katie.21","kruger","territorial","juvenile",0,0,0
"katie.22","kruger","territorial","male",0,0,0
"katie.22","kruger","territorial","female",7,2,5
"katie.22","kruger","territorial","juvenile",14,0,7
"katie.23","wits.facility","bachelor","male",11,1,0
"katie.23","wits.facility","bachelor","female",0,0,0
"katie.23","wits.facility","bachelor","juvenile",0,0,0
"katie.24","wits.facility","territorial","male",1,4,0
"katie.24","wits.facility","territorial","female",0,6,0
"katie.24","wits.facility","territorial","juvenile",0,2,0
"katie.25","wits.facility","territorial","male",0,0,0
"katie.25","wits.facility","territorial","female",4,0,1
"katie.25","wits.facility","territorial","juvenile",0,0,0
"katie.26","wits.facility","territorial","male",0,0,0
"katie.26","wits.facility","territorial","female",4,4,2
"katie.26","wits.facility","territorial","juvenile",0,0,0
"katie.27","wits.facility","territorial","male",0,0,0
"katie.27","wits.facility","territorial","female",61,3,4
"katie.27","wits.facility","territorial","juvenile",12,1,2
"katie.28","wits.facility","territorial","male",0,0,0
"katie.28","wits.facility","territorial","female",0,0,0
"katie.28","wits.facility","territorial","juvenile",0,0,0
"katie.29","wits.facility","territorial","male",0,0,0
"katie.29","wits.facility","territorial","female",0,0,0
"katie.29","wits.facility","territorial","juvenile",0,0,0
"ellie.1","wits.facility","territorial","male",0,8,0
"ellie.1","wits.facility","territorial","female",9,1,4
"ellie.1","wits.facility","territorial","juvenile",0,0,0
"ellie.2","wits.facility","territorial","male",0,0,0
"ellie.2","wits.facility","territorial","female",42,12,1
"ellie.2","wits.facility","territorial","juvenile",0,0,0
"ellie.3","wits.facility","territorial","male",0,0,0
"ellie.3","wits.facility","territorial","female",6,6,0
"ellie.3","wits.facility","territorial","juvenile",2,2,0
"ellie.4","wits.facility","territorial","male",1,3,1
"ellie.4","wits.facility","territorial","female",12,3,2
"ellie.4","wits.facility","territorial","juvenile",0,0,4
"ellie.5","wits.facility","territorial","male",0,0,0
"ellie.5","wits.facility","territorial","female",48,28,11
"ellie.5","wits.facility","territorial","juvenile",0,0,0
"ellie.6","wits.facility","territorial","male",1,42,1
"ellie.6","wits.facility","territorial","female",28,11,5
"ellie.6","wits.facility","territorial","juvenile",0,0,0
"ellie.7","wits.facility","territorial","male",1,4,0
"ellie.7","wits.facility","territorial","female",25,2,0
"ellie.7","wits.facility","territorial","juvenile",0,0,0
"ellie.8","wits.facility","territorial","male",0,9,0
"ellie.8","wits.facility","territorial","female",14,29,1
"ellie.8","wits.facility","territorial","juvenile",10,12,22
"ellie.9","kruger","bachelor","male",23,10,23
"ellie.9","kruger","bachelor","female",0,0,0
"ellie.9","kruger","bachelor","juvenile",0,0,0
"ellie.10","kruger","territorial","male",0,0,0
"ellie.10","kruger","territorial","female",54,10,0
"ellie.10","kruger","territorial","juvenile",0,0,0
"ellie.11","kruger","territorial","male",6,11,5
"ellie.11","kruger","territorial","female",11,59,18
"ellie.11","kruger","territorial","juvenile",4,5,13
"ellie.12","wits.facility","territorial","male",4,7,0
"ellie.12","wits.facility","territorial","female",19,8,12
"ellie.12","wits.facility","territorial","juvenile",0,0,0
"ellie.13","wits.facility","territorial","male",29,3,5
"ellie.13","wits.facility","territorial","female",92,24,12
"ellie.13","wits.facility","territorial","juvenile",0,0,0
"ellie.14","wits.facility","territorial","male",0,2,0
"ellie.14","wits.facility","territorial","female",11,2,0
"ellie.14","wits.facility","territorial","juvenile",0,0,0
"ellie.15","wits.facility","territorial","male",0,0,0
"ellie.15","wits.facility","territorial","female",34,11,3
"ellie.15","wits.facility","territorial","juvenile",0,0,0
"ellie.16","wits.facility","territorial","male",0,0,0
"ellie.16","wits.facility","territorial","female",0,7,0
"ellie.16","wits.facility","territorial","juvenile",7,11,3
"ellie.17","wits.facility","territorial","male",0,0,0
"ellie.17","wits.facility","territorial","female",9,4,8
"ellie.17","wits.facility","territorial","juvenile",0,0,0
"ellie.18","wits.facility","territorial","male",0,0,0
"ellie.18","wits.facility","territorial","female",15,12,0
"ellie.18","wits.facility","territorial","juvenile",1,38,17
"ellie.19","wits.facility","territorial","male",0,0,0
"ellie.19","wits.facility","territorial","female",2,5,4
"ellie.19","wits.facility","territorial","juvenile",0,0,0
"ellie.20","wits.facility","territorial","male",0,0,0
"ellie.20","wits.facility","territorial","female",0,0,0
"ellie.20","wits.facility","territorial","juvenile",4,4,4
"ellie.21","kruger","territorial","male",0,0,0
"ellie.21","kruger","territorial","female",16,5,0
"ellie.21","kruger","territorial","juvenile",2,1,2
"ellie.22","kruger","bachelor","male",17,10,13
"ellie.22","kruger","bachelor","female",0,0,0
"ellie.22","kruger","bachelor","juvenile",0,0,0
"ellie.23","wits.facility","bachelor","male",19,3,10
"ellie.23","wits.facility","bachelor","female",0,0,0
"ellie.23","wits.facility","bachelor","juvenile",0,0,0
"ellie.24","kruger","territorial","male",28,5,11
"ellie.24","kruger","territorial","female",32,8,5
"ellie.24","kruger","territorial","juvenile",0,0,0
"ellie.25","wits.facility","territorial","male",0,1,1
"ellie.25","wits.facility","territorial","female",1,2,0
"ellie.25","wits.facility","territorial","juvenile",3,0,0
"ellie.26","wits.facility","territorial","male",5,1,1
"ellie.26","wits.facility","territorial","female",10,9,2
"ellie.26","wits.facility","territorial","juvenile",2,1,0
"ellie.27","wits.facility","territorial","male",1,2,3
"ellie.27","wits.facility","territorial","female",11,8,2
"ellie.27","wits.facility","territorial","juvenile",5,0,0
"ellie.28","wits.facility","bachelor","male",28,12,9
"ellie.28","wits.facility","bachelor","female",0,0,0
"ellie.28","wits.facility","bachelor","juvenile",0,0,0
"ellie.29","wits.facility","bachelor","male",11,5,11
"ellie.29","wits.facility","bachelor","female",0,0,0
"ellie.29","wits.facility","bachelor","juvenile",0,0,0
"ellie.30","wits.facility","bachelor","male",13,14,4
"ellie.30","wits.facility","bachelor","female",0,0,0
"ellie.30","wits.facility","bachelor","juvenile",0,0,0
"ellie.31","kruger","territorial","male",0,0,0
"ellie.31","kruger","territorial","female",203,236,11
"ellie.31","kruger","territorial","juvenile",0,0,0
